referencia,descripcion,stock_piezas,precio_publico_pwa,precio_taller_referencia,marca,activo
KTR-4302,Terminal Dirección Mazda 2 15-08 IZQ,2,79663,66386,Mazda,True
KBJ-4033,ROTULA MAZDA 3 BK3P-34-300,2,61136,50946,Mazda,True
KTR-4301,Terminal Dir Mazda 2 15-08 DER,2,77082,64235,Mazda,True
KSL-2108,Bieleta Estab. Mazda 3 13-03 DEL,2,52275,43562,Mazda,True
KSL-2103,Bieleta Estab. Mazda 2 22-08 Skyactive / CX30-CX3 Skyactive Del,2,54526,45439,Mazda,True
KRE-3202,Terminal Axial Mazda 3 10-02,2,61941,51618,Mazda,True
KTR-4304,Terminal Dir Mazda 3 14-03 DER,2,58481,48734,Mazda,True
KTR-4303,Terminal Dir Mazda 3 14-03 IZQ,2,58481,48734,Mazda,True
KSA-MA001,Amortiguador Mazda 2 13-08 Del DER GAS ,1,233850,194875,Mazda 2,True
KSA-MA002,Amortiguador Mazda 2 13-08 Del IZQ GAS ,1,233850,194875,Mazda 2,True
KBJ-4085,Rótula Mazda 2 15-08 Skyactive 19-16 / Ford Fiesta 17-11,2,60824,50687,Mazda/Ford,True
KBJ-4043,Rótula BT-50 4x4 INF Cono 19.5mm / Ford Ranger 4x4 INF,2,86034,71695,Mazda/Ford,True
KTR-4308,Terminal Dirección M6 / Ford Edge-Fusion DER,2,80706,67255,Mazda/Ford,True
KTR-4309,Terminal Dir M6 / Ford Edge-Fusion IZQ,2,79095,65913,Mazda/Ford,True
KSL-2107,Bieleta Estab. Mazda 2 07-02 / Ford Fiesta-Fusion,2,53318,44432,Mazda/Ford,True
KRE-3210,Terminal Axial Mazda 2 15-07 / Kia Picanto ION Dir Mecánica M14x1.5,2,64852,54043,Mazda/Kia,True
KBJ-4053,Rótula D22 4x2-4x4 Frontier 4x4 SUP,2,63387,52823,Nissan,True
KBJ-4051,Rótula D21 Frontier NP300 4x2 Gasol INF Urban INF,2,86107,71756,Nissan,True
KTR-5129,Terminal Dirección March IZQ,2,68385,56988,Nissan,True
KTR-5130,Terminal Dirección March K11 Note DER,2,68385,56988,Nissan,True
KSA-RE047,AMORTIGUADOR RENAULT CLIO CAMPUS DEL Esp Largo - Plato Bajo peq,2,252140,210116,Renault,True
KBJ-4068,Rótula Logan 15-06 Sandero 15-06 MG2 SC2,2,49382,41152,Renault,True
KBJ-4064,Rótula R9-19-21RC-CL-TW,2,57511,47926,Renault,True
KBJ-4065,Rótula Clio 2,2,65969,54974,Renault,True
KBJ-4108,Rótula Logan 23-16 Sandero 23-16 STW 23-16,2,55424,46186,Renault,True
KTR-6013,Terminal Dirección Megane 2 IZQ,2,81366,67805,Renault,True
KTR-6014,Terminal Dirección Megane 2 DER,2,81366,67805,Renault,True
KBJ-4066,Rótula Duster,2,78784,65653,Renault,True
KTR-6007,Terminal Dir Logan I IZQ,2,64998,54165,Renault,True
KTR-6005,Terminal Dir Duster 4x4 IZQ,2,83782,69818,Renault,True
KRE-6215,Terminal Axial Megane II - Scenic II,2,63479,52899,Renault,True
KTR-6006,Terminal Dir Duster 4x4 DER,2,83782,69818,Renault,True
KSL-3008,Bieleta Estab. Twingo 16V DER,2,56064,46720,Renault,True
KRE-6217,Terminal Axial Logan II 20-11 Sandero II-Stepway II,2,63479,52899,Renault,True
KSL-3007,Bieleta Estab. Twingo 16V IZQ,2,56064,46720,Renault,True
KRE-6211,Terminal Axial Logan I 10-06 Sandero I rosca delgada,2,58481,48734,Renault,True
KSL-3002,Bieleta Estab. Duster,2,52201,43501,Renault,True
KTR-6008,Terminal Dir Logan I DER,2,64998,54165,Renault,True
KRE-6209,Terminal Axial Clio II-Megane I-Scenic I Larga 310mm,2,58078,48398,Renault,True
KRE-6216,Terminal Axial Twingo,2,59213,49344,Renault,True
KSA-RE018,AMORTIGUADOR RENAULT LOGAN 22-16 DELANTERO 277mm x2,2,207835,173196,Renault,True
KTR-6015,Terminal Dir Clio II-SY-Megane I-Kangoo-TW II IZQ,2,53483,44569,Renault,True
KTR-6016,Terminal Dir Clio II-SY-Megane I-Kangoo-TW II DER,2,53483,44569,Renault,True
KSA-RE028,Amortiguador Renault Kwid DEL (x2),2,213218,177681,Renault,True
KSA-RE029,Amortiguador Renault Kwid TRAS (x2),2,132828,110690,Renault,True
KRE-6401,Terminal Axial Swift 1.2 1.4 18-13,2,62344,51953,Suzuki,True
KSL-5151,Bieleta Estab. Hilux Vigo 4x4 Fortuner-Prado Del IZQ,2,59451,49543,Toyota,True
KSL-5150,Bieleta Estab. Hilux Vigo 4x4 Fortuner-Prado Del DER,2,59451,49543,Toyota,True
KRE-5206,Terminal Axial Hilux Vigo 4x4 05 Fortuner-Revo,2,64852,54043,Toyota,True
KBJ-6108,Rótula VW Golf 1.6 Jetta 1.8-2.0 DER,2,68385,56988,Volkswagen,True
KBJ-6109,Rótula VW Golf 1.6 Jetta 1.8-2.0 IZQ,2,65090,54242,Volkswagen,True
KRE-6802,Terminal Axial VW Golf IV DER,2,59524,49604,Volkswagen,True
KSL-6022,Bieleta Estab. VW Golf-Jetta 03-00,2,54783,45652,Volkswagen,True
7700820028,TIJERA DEL LH TWINGO,1,130770,108975,Renault,True
7700820029,TIJERA DEL LH TWINGO,1,130770,108975,Renault,True
54501-1697R,TIJERA DELANTERA RH TWINGO,1,146154,121795,Renault,True
545001138R,TIJERA DELANTERA RH DUSTER/OROCH,1,146154,121795,Renault,True
54500A269R,TIJERA DEL LH DUSTER/OROCH,1,123078,102565,Renault,True
54500A268R,TIJERA DEL RH LOGAN/SANDERO/2016,1,123078,102565,Renault,True
545010294R,TIJERA DEL LH LOGAN II/SANDERO II,1,123078,102565,Renault,True
545004529R,TIJERA DEL LH LOGAN II/SANDERO II,1,123078,102565,Renault,True
54501-0000M,TIJERA DEL LH CLIO II/SYMBOL,1,123078,102565,Renault,True
5450-0000M,TIJERA DEL RH CLIO II/SYMBOL,1,123078,102565,Renault,True
96535081,TIJERA LH AVEO/SAIL,1,92307,76923,Chevrolet,True
96535082,TIJERA RH AVEO/SAIL,1,92307,76923,Chevrolet,True
2595128,TIJERA DEL RH CAPTIVA,1,230769,192307,Chevrolet,True
96819162,TIJERA DEL LH CAPTIVA,1,230769,192307,Chevrolet,True
B32H-34-350,TIJERA DEL LH MAZDA 3,1,200000,166667,Mazda,True
B32H-34-300,TIJERA DEL RH MAZDA 3,1,200000,166667,Mazda,True
